Model,Predictors,R²,Adj. R²,AIC
m1,1,0.4267699604204582,0.4265635398084382,646.1677155723246
m2,2,0.7146251668537921,0.7144195653889893,-1290.1391566289703
m3,29,0.8323170876005972,0.8304247795247394,-2709.8133539661567
m4,10,0.8455687293970753,0.8450108129570358,-2980.5962599497316
