Model,Specification,Predictors,R²,Adj. R²,AIC
m1,GrLivArea,1,0.4267699604204582,0.4265635398084382,646.1677155723246
m2,GrLivArea + log_OverallQual,2,0.7146251668537921,0.7144195653889893,-1290.1391566289703
m3,GrLivArea + log_OverallQual + Neighborhood + YearBuilt + TotalBsmtSF,29,0.8323170876005972,0.8304247795247394,-2709.8133539661567
